name,description
roots,storage roots
tubers,
rhizome,
leaves,
stems,
flowers,
fruit,
seed,includes bean seed (pulse)
grain,used instead of seed for cereals
pod,used instead of fruit for beans
aboveground biomass,whole plant
wood,
none,
