name,type,unit,vocabulary,multiple_allowed,valid_min,valid_max,description,notes,obo
insecticide_dates,date,,,yes,,,"insecticide appliacation dates in ""yyyy-mm-dd"", ""yyyy-mm"", or ""yyyy"" format; separated by ""; """,,
insecticide_timing,integer,,,no,-30,200,days after (or before) planting on which insecticide was used,,
insecticide_times,integer,,,no,0,12,number of insecticide applications,,
insecticide_amount,numeric,kg (ai) / ha,,no,,,how much insecticide was used?,,AGRO_00000663
insecticide_implement,character,,implement,no,,,the implement (machine) used,,
fungicide_used,logical,,,no,,,was a herbicide used?,,
fungicide_product,character,,fungicides,yes,,,name(s) of the active ingredient of the fungicide,,
fungicide_dates,date,,,yes,,,"fungicide appliacation dates in ""yyyy-mm-dd"", ""yyyy-mm"", or ""yyyy"" format; separated by ""; """,,
fungicide_timing,integer,,,no,-30,200,days after (or before) planting on which fungicide was used,,
fungicide_times,integer,,,no,0,20,number of fungicide applications,,
fungicide_amount,numeric,kg (ai) / ha,,no,,,how much fungicide was used?,,
fungicide_implement,character,,implement,no,,,the implement (machine) used,,
mulch,numeric,kg/ha,,no,,,how much mulch is on the field?,,AGRO_00010013
mulch_type,character,,,no,,,Type of mulch used,,
