name,type,unit,vocabulary,multiple_allowed,valid_min,valid_max,description,notes,obo
tuber_flavor,numeric,,,,1,5,,,
tuber_texture,numeric,,,,1,5,,,
tuber_reducing_sugars,numeric,,,,1,5,,,
fries_color,numeric,,,,1,5,,,
fries_blanching,numeric,,,,1,5,,,
fries_texture,numeric,,,,1,5,,,
