name,type,unit,vocabulary,multiple_allowed,valid_min,valid_max,description,notes,obo
N2O_emission,numeric,kg [CO2 equivalent] / ha,,no,,,,,
CO2_emission,numeric,kg [CO2 equivalent] / ha,,no,,,,,
CH4_emission,numeric,kg [CO2 equivalent] / ha,,no,,,,,
GHG_emission,numeric,kg [CO2 equivalent] / ha,,no,,,,,
